Geographic Area,CITY POPULATION
"DeLand,  Florida","45,587"
"Delray Beach,  Florida","70,140"
"Deltona,  Florida","100,513"
"Destin,  Florida","13,991"
"Doral,  Florida","83,625"
"Dundee,  Florida","6,275"
"Dunedin,  Florida","35,932"
"Dunnellon,  Florida","2,043"
"Eagle Lake,  Florida","5,576"
"Eatonville,  Florida","2,356"
"Ebro,  Florida",246
"Edgewater,  Florida","24,334"
"Edgewood,  Florida","2,867"
"El Portal village,   Florida","1,980"
"Estero village,   Florida","38,443"
"Esto,  Florida",350
"Eustis,  Florida","25,067"
"Everglades,  Florida",396
"Fanning Springs,  Florida","1,341"
"Fellsmere,  Florida","5,028"
"Fernandina Beach,  Florida","13,672"
"Flagler Beach,  Florida","5,568"
"Florida ,  Florida","13,157"
"Fort Lauderdale,  Florida","190,641"
"Fort Meade,  Florida","5,341"
"Fort Myers,  Florida","99,918"
"Fort Myers Beach,  Florida","5,308"
"Fort Pierce,  Florida","50,805"
"Fort Walton Beach,  Florida","21,188"
"Fort White,  Florida",669
"Freeport,  Florida","7,234"
"Frostproof,  Florida","3,467"
"Fruitland Park,  Florida","8,962"
"Gainesville,  Florida","148,720"
"Glen Ridge,  Florida",218
"Glen St. Mary,  Florida",504
"Golden Beach,  Florida","1,034"
"Golf village,   Florida",273
"Graceville,  Florida","2,219"
"Grand Ridge,  Florida",925
"Grant-Valkaria,  Florida","5,730"
"Greenacres,  Florida","45,197"
"Green Cove Springs,  Florida","10,087"
"Greensboro,  Florida",464
"Greenville,  Florida",774
"Greenwood,  Florida",561
"Gretna,  Florida","1,284"
"Groveland,  Florida","24,602"
"Gulf Breeze,  Florida","6,955"
"Gulfport,  Florida","11,645"
"Gulf Stream,  Florida",994
"Haines ,  Florida","42,073"
"Hallandale Beach,  Florida","43,043"
"Hampton,  Florida",498
"Havana,  Florida","1,756"
"Haverhill,  Florida","2,225"
"Hawthorne,  Florida","1,529"
"Hialeah,  Florida","235,388"
"Hialeah Gardens,  Florida","23,328"
"Highland Beach,  Florida","4,368"
"Highland Park village,   Florida",285
"High Springs,  Florida","6,806"
"Hillcrest Heights,  Florida",282
"Hilliard,  Florida","3,077"
"Hillsboro Beach,  Florida","2,043"
"Holly Hill,  Florida","13,183"
"Hollywood,  Florida","159,073"
"Holmes Beach,  Florida","3,049"
"Homestead,  Florida","85,796"
"Horseshoe Beach,  Florida",173
"Howey-in-the-Hills,  Florida","1,693"
"Hypoluxo,  Florida","2,941"
"Indialantic,  Florida","3,117"
"Indian Creek village,   Florida",89
"Indian Harbour Beach,  Florida","9,006"
"Indian River Shores,  Florida","4,466"
"Indian Rocks Beach,  Florida","3,637"
"Indian Shores,  Florida","1,190"
"Indian village,   Florida","6,810"
"Inglis,  Florida","1,622"
"Interlachen,  Florida","1,508"
"Inverness,  Florida","7,887"
"Islamorada,   Village of Islands village,   Florida","7,013"
"Jacksonville,  Florida","1,009,833"
"Jacksonville Beach,  Florida","23,630"
"Jacob ,  Florida",230
"Jasper,  Florida","3,549"
"Jay,  Florida",583
"Jennings,  Florida",772
"Juno Beach,  Florida","3,969"
"Jupiter,  Florida","62,987"
"Jupiter Inlet Colony,  Florida",456
"Jupiter Island,  Florida",837
"Kenneth ,  Florida","4,966"
"Key Biscayne village,   Florida","15,111"
"Key Colony Beach,  Florida",749
"Keystone Heights,  Florida","1,566"
"Key West,  Florida","25,240"
"Kissimmee,  Florida","84,756"
"LaBelle,  Florida","5,472"
"La Crosse,  Florida",324
"Lady Lake,  Florida","17,288"
"Lake Alfred,  Florida","8,632"
"Lake Buena Vista,  Florida",25
"Lake Butler,  Florida","1,983"
"Lake ,  Florida","12,783"
"Lake Clarke Shores,  Florida","3,629"
"Lake Hamilton,  Florida","2,126"
"Lake Helen,  Florida","2,988"
"Lakeland,  Florida","124,990"
"Lake Mary,  Florida","16,989"
"Lake Park,  Florida","9,188"
"Lake Placid,  Florida","2,561"
"Lake Wales,  Florida","17,798"
"Lake Worth Beach,  Florida","44,417"
"Lantana,  Florida","12,545"
"Largo,  Florida","82,337"
"Lauderdale-by-the-Sea,  Florida","6,365"
"Lauderdale Lakes,  Florida","37,333"
"Lauderhill,  Florida","76,627"
"Laurel Hill,  Florida",606
"Lawtey,  Florida",682
"Layton,  Florida",208
"Lazy Lake village,   Florida",35
"Lee,  Florida",380
"Leesburg,  Florida","37,815"
"Lighthouse Point,  Florida","10,878"
"Live Oak,  Florida","7,200"
"Longboat Key,  Florida","7,463"
"Longwood,  Florida","17,089"
"Loxahatchee Groves,  Florida","3,559"
"Lynn Haven,  Florida","21,954"
"Macclenny,  Florida","8,178"
"McIntosh,  Florida",532
"Madeira Beach,  Florida","4,014"
"Madison,  Florida","2,994"
"Maitland,  Florida","19,776"
"Malabar,  Florida","3,175"
"Malone,  Florida","1,642"
"Manalapan,  Florida",441
"Mangonia Park,  Florida","2,643"
"Marathon,  Florida","10,039"
"Marco Island,  Florida","16,554"
"Margate,  Florida","60,650"
"Marianna,  Florida","7,975"
"Marineland,  Florida",9
"Mary Esther,  Florida","4,070"
"Mascotte,  Florida","9,150"
"Mayo,  Florida","1,087"
"Medley,  Florida","1,102"
"Melbourne,  Florida","87,561"
"Melbourne Beach,  Florida","3,273"
"Melbourne Village,  Florida",683
"Mexico Beach,  Florida","1,210"
"Miami,  Florida","487,014"
"Miami Beach,  Florida","83,251"
"Miami Gardens,  Florida","116,173"
"Miami Lakes,  Florida","33,247"
"Miami Shores village,   Florida","11,917"
"Miami Springs,  Florida","13,901"
"Micanopy,  Florida",660
"Midway,  Florida","3,485"
"Milton,  Florida","11,182"
"Minneola,  Florida","19,675"
"Miramar,  Florida","143,242"
"Monticello,  Florida","2,754"
"Montverde,  Florida","1,811"
"Moore Haven,  Florida","1,711"
"Mount Dora,  Florida","18,261"
"Mulberry,  Florida","4,488"
"Naples,  Florida","20,168"
"Neptune Beach,  Florida","7,032"
"Newberry,  Florida","8,326"
"New Port Richey,  Florida","18,130"
"New Smyrna Beach,  Florida","33,144"
"Niceville,  Florida","17,919"
"Noma,  Florida",215
"North Bay Village,  Florida","8,286"
"North Lauderdale,  Florida","46,335"
"North Miami,  Florida","62,202"
"North Miami Beach,  Florida","45,655"
"North Palm Beach village,   Florida","13,423"
"North Port,  Florida","92,875"
"North Redington Beach,  Florida","1,478"
"Oak Hill,  Florida","2,172"
"Oakland,  Florida","3,796"
"Oakland Park,  Florida","45,771"
"Ocala,  Florida","70,251"
"Ocean Breeze,  Florida",402
"Ocean Ridge,  Florida","1,888"
"Ocoee,  Florida","51,269"
"Okeechobee,  Florida","5,731"
"Oldsmar,  Florida","14,831"
"Opa-locka,  Florida","16,507"
"Orange ,  Florida","15,257"
"Orange Park,  Florida","8,993"
"Orchid,  Florida",545
"Orlando,  Florida","334,854"
"Ormond Beach,  Florida","44,596"
"Otter Creek,  Florida",114
"Oviedo,  Florida","41,901"
"Pahokee,  Florida","5,829"
"Palatka,  Florida","10,867"
"Palm Bay,  Florida","142,023"
"Palm Beach,  Florida","9,493"
"Palm Beach Gardens,  Florida","63,284"
"Palm Beach Shores,  Florida","1,359"
"Palm Coast,  Florida","106,729"
"Palmetto,  Florida","13,682"
"Palmetto Bay village,   Florida","25,402"
"Palm Shores,  Florida","1,210"
"Palm Springs village,   Florida","28,548"
"Panama ,  Florida","37,024"
"Panama  Beach,  Florida","19,955"
"Parker,  Florida","4,801"
"Parkland,  Florida","39,700"
"Paxton,  Florida",668
"Pembroke Park,  Florida","6,544"
"Pembroke Pines,  Florida","179,326"
"Penney Farms,  Florida",835
"Pensacola,  Florida","53,898"
"Perry,  Florida","7,306"
"Pierson,  Florida","1,563"
"Pinecrest village,   Florida","18,981"
"Pinellas Park,  Florida","53,503"
"Plantation,  Florida","100,694"
"Plant ,  Florida","43,046"
"Polk ,  Florida","3,076"
"Pomona Park,  Florida",824
"Pompano Beach,  Florida","118,104"
"Ponce de Leon,  Florida",518
"Ponce Inlet,  Florida","3,485"
"Port Orange,  Florida","66,556"
"Port Richey,  Florida","3,637"
"Port St. Joe,  Florida","3,856"
"Port St. Lucie,  Florida","258,575"
"Punta Gorda,  Florida","20,416"
"Quincy,  Florida","8,119"
"Raiford,  Florida",224
"Reddick,  Florida",516
"Redington Beach,  Florida","1,383"
"Redington Shores,  Florida","2,167"
"Riviera Beach,  Florida","39,620"
"Rockledge,  Florida","31,429"
"Royal Palm Beach village,   Florida","41,948"
"Safety Harbor,  Florida","16,972"
"St. Augustine,  Florida","16,033"
"St. Augustine Beach,  Florida","6,808"
"St. Cloud,  Florida","71,036"
"St. Leo,  Florida","2,472"
"St. Lucie Village,  Florida",615
"St. Marks,  Florida",312
"St. Pete Beach,  Florida","8,730"
"St. Petersburg,  Florida","267,102"
"San Antonio,  Florida","1,577"
"Sanford,  Florida","66,919"
"Sanibel,  Florida","6,358"
"Sarasota,  Florida","57,764"
"Satellite Beach,  Florida","11,367"
"Sea Ranch Lakes village,   Florida",575
"Sebastian,  Florida","27,087"
"Sebring,  Florida","11,795"
"Seminole,  Florida","19,395"
"Sewall's Point,  Florida","2,072"
"Shalimar,  Florida",757
"Sneads,  Florida","1,780"
"Sopchoppy,  Florida",476
"South Bay,  Florida","5,160"
"South Daytona,  Florida","13,906"
"South Miami,  Florida","13,207"
"South Palm Beach,  Florida","1,491"
"South Pasadena,  Florida","5,280"
"Southwest Ranches,  Florida","7,827"
"Springfield,  Florida","8,495"
"Starke,  Florida","5,966"
"Stuart,  Florida","19,566"
"Sunny Isles Beach,  Florida","22,903"
"Sunrise,  Florida","100,128"
"Surfside,  Florida","5,719"
"Sweetwater,  Florida","21,321"
"Tallahassee,  Florida","205,089"
"Tamarac,  Florida","75,147"
"Tampa,  Florida","414,547"
"Tarpon Springs,  Florida","26,168"
"Tavares,  Florida","22,007"
"Temple Terrace,  Florida","27,588"
"Tequesta village,   Florida","6,285"
"Titusville,  Florida","49,883"
"Treasure Island,  Florida","6,524"
"Trenton,  Florida","2,267"
"Umatilla,  Florida","3,976"
"Valparaiso,  Florida","4,852"
"Venice,  Florida","29,902"
"Vernon,  Florida",744
"Vero Beach,  Florida","17,556"
"Virginia Gardens village,   Florida","2,358"
"Waldo,  Florida",824
"Wauchula,  Florida","4,984"
"Wausau,  Florida",390
"Webster,  Florida",965
"Welaka,  Florida",763
"Wellington village,   Florida","63,258"
"Westlake,  Florida","7,664"
"West Melbourne,  Florida","31,378"
"West Miami,  Florida","7,247"
"Weston,  Florida","70,674"
"West Palm Beach,  Florida","127,744"
"West Park,  Florida","15,641"
"Westville,  Florida",268
"Wewahitchka,  Florida","2,188"
"White Springs,  Florida",760
"Wildwood,  Florida","19,031"
"Williston,  Florida","3,433"
"Wilton Manors,  Florida","11,788"
"Windermere,  Florida","3,223"
"Winter Garden,  Florida","48,771"
"Winter Haven,  Florida","59,975"
"Winter Park,  Florida","30,835"
"Winter Springs,  Florida","39,822"
"Worthington Springs,  Florida",380
"Yankee,  Florida",633
"Zephyrhills,  Florida","22,304"
"Zolfo Springs,  Florida","1,761"
"Abbeville,  Georgia","2,845"
"Acworth,  Georgia","22,624"
"Adairsville,  Georgia","5,029"
"Adel,  Georgia","5,752"
"Adrian,  Georgia",557
"Ailey,  Georgia",527
"Alamo,  Georgia","2,818"
"Alapaha,  Georgia",493
"Albany,  Georgia","66,705"
"Aldora,  Georgia",189
"Allenhurst,  Georgia",868
"Allen,  Georgia",190
"Alma,  Georgia","3,362"
"Alpharetta,  Georgia","67,275"
"Alston,  Georgia",175
"Alto,  Georgia","1,011"
"Ambrose,  Georgia",343
"Americus,  Georgia","15,742"
"Andersonville,  Georgia",237
"Arabi,  Georgia",455
"Aragon,  Georgia","1,503"
"Arcade,  Georgia","2,021"
"Argyle,  Georgia",193
"Arlington,  Georgia","1,137"
"Arnoldsville,  Georgia",469
"Ashburn,  Georgia","4,239"
"Athens-Clarke County unified government (balance),   Georgia","128,691"
"Atlanta,  Georgia","520,070"
"Attapulgus,  Georgia",446
"Auburn,  Georgia","10,094"
"Augusta-Richmond County consolidated government (balance),   Georgia","201,737"
"Austell,  Georgia","8,244"
"Avalon,  Georgia",242
"Avera,  Georgia",214
"Avondale Estates,  Georgia","3,526"
"Baconton,  Georgia",845
"Bainbridge,  Georgia","14,586"
"Baldwin,  Georgia","4,217"
"Ball Ground,  Georgia","3,311"
"Barnesville,  Georgia","6,343"
"Bartow,  Georgia",178
"Barwick,  Georgia",361
"Baxley,  Georgia","4,943"
"Bellville,  Georgia",125
"Berkeley Lake,  Georgia","2,030"
"Berlin,  Georgia",528
"Bethlehem,  Georgia",793
"Between,  Georgia",475
"Bishop,  Georgia",349
"Blackshear,  Georgia","3,658"
"Blairsville,  Georgia",849
"Blakely,  Georgia","5,142"
"Bloomingdale,  Georgia","3,100"
"Blue Ridge,  Georgia","1,246"
"Bluffton,  Georgia",117
"Blythe,  Georgia",793
"Bogart,  Georgia","1,343"
"Boston,  Georgia","1,235"
"Bostwick,  Georgia",400
"Bowdon,  Georgia","2,238"
"Bowersville,  Georgia",427
"Bowman,  Georgia",865
"Braselton,  Georgia","17,390"
"Braswell,  Georgia",368
"Bremen,  Georgia","7,647"
"Brinson,  Georgia",216
"Bronwood,  Georgia",311
"Brookhaven,  Georgia","59,370"
"Brooklet,  Georgia","2,063"
"Brooks,  Georgia",584
"Broxton,  Georgia","1,076"
"Brunswick,  Georgia","15,520"
"Buchanan,  Georgia",956
"Buckhead,  Georgia",203
"Buena Vista,  Georgia","1,586"
"Buford,  Georgia","18,642"
"Butler,  Georgia","1,827"
"Byromville,  Georgia",346
"Byron,  Georgia","6,305"
"Cadwell,  Georgia",421
"Cairo,  Georgia","10,057"
"Calhoun,  Georgia","19,592"
"Camak,  Georgia",131
"Camilla,  Georgia","5,029"
"Canon,  Georgia",705
"Canton,  Georgia","38,049"
"Carl,  Georgia",229
"Carlton,  Georgia",308
"Carnesville,  Georgia",771
"Carrollton,  Georgia","28,306"
"Cartersville,  Georgia","25,082"
"Cave Spring,  Georgia","1,215"
"Cecil,  Georgia",285
"Cedar,  Georgia","10,313"
"Centerville,  Georgia","9,021"
"Centralhatchee,  Georgia",363
"Chamblee,  Georgia","32,321"
"Chatsworth,  Georgia","4,943"
"Chattahoochee Hills,  Georgia","3,451"
"Chauncey,  Georgia",286
"Chester,  Georgia","1,479"
"Chickamauga,  Georgia","3,014"
"Clarkesville,  Georgia","2,159"
"Clarkston,  Georgia","14,416"
"Claxton,  Georgia","2,543"
"Clayton,  Georgia","2,090"
"Clermont,  Georgia","1,141"
"Cleveland,  Georgia","3,583"
"Climax,  Georgia",269
"Cobb,  Georgia",339
"Cochran,  Georgia","4,836"
"Cohutta,  Georgia",848
"Colbert,  Georgia",676
"College Park,  Georgia","13,953"
"Collins,  Georgia",542
"Colquitt,  Georgia","1,936"
"Columbus,  Georgia","201,830"
"Comer,  Georgia","1,626"
"Commerce,  Georgia","8,803"
"Concord,  Georgia",415
"Conyers,  Georgia","20,111"
"Coolidge,  Georgia",544
"Cordele,  Georgia","9,767"
"Cornelia,  Georgia","5,371"
"Covington,  Georgia","15,302"
"Crawford,  Georgia",898
"Crawfordville,  Georgia",495
"Culloden,  Georgia",205
"Cumming,  Georgia","10,175"
"Cusseta-Chattahoochee County unified government,   Georgia","8,548"
"Cuthbert,  Georgia","2,912"
"Dacula,  Georgia","8,018"
"Dahlonega,  Georgia","7,830"
"Daisy,  Georgia",157
"Dallas,  Georgia","15,062"
"Dalton,  Georgia","34,970"
"Damascus,  Georgia",203
"Danielsville,  Georgia",868
"Danville,  Georgia",160
"Darien,  Georgia","1,747"
"Dasher,  Georgia",939
"Davisboro,  Georgia","1,946"
"Dawson,  Georgia","4,180"
"Dawsonville,  Georgia","4,875"
"Dearing,  Georgia",535
"Decatur,  Georgia","24,482"
"Deepstep,  Georgia",112
"Demorest,  Georgia","2,189"
"Denton,  Georgia",191
"De Soto,  Georgia",120
"Dexter,  Georgia",675
"Dillard,  Georgia",337
"Doerun,  Georgia",729
"Donalsonville,  Georgia","2,864"
"Dooling,  Georgia",67
"Doraville,  Georgia","12,436"
"Douglas,  Georgia","11,828"
"Douglasville,  Georgia","40,540"
"Dublin,  Georgia","16,233"
"Dudley,  Georgia",596
"Duluth,  Georgia","33,157"
"Dunwoody,  Georgia","51,795"
"Du Pont,  Georgia",134
"East Dublin,  Georgia","2,507"
"East Ellijay,  Georgia","1,625"
"Eastman,  Georgia","5,513"
"East Point,  Georgia","38,270"
"Eatonton,  Georgia","6,641"
"Echols County consolidated government,   Georgia","3,698"
"Edge Hill,  Georgia",26
"Edison,  Georgia","1,157"
"Elberton,  Georgia","4,760"
"Ellaville,  Georgia","1,513"
"Ellenton,  Georgia",219
"Ellijay,  Georgia","1,923"
"Emerson,  Georgia","2,192"
"Enigma,  Georgia","1,112"
"Ephesus,  Georgia",496
"Eton,  Georgia",851
"Euharlee,  Georgia","4,139"
"Fairburn,  Georgia","17,267"
"Fairmount,  Georgia",766
"Fargo,  Georgia",263
"Fayetteville,  Georgia","20,419"
"Fitzgerald,  Georgia","8,813"
"Flemington,  Georgia",870
"Flovilla,  Georgia",700
"Flowery Branch,  Georgia","12,292"
"Folkston,  Georgia","4,701"
"Forest Park,  Georgia","19,301"
"Forsyth,  Georgia","4,895"
"Fort Gaines,  Georgia",978
"Fort Oglethorpe,  Georgia","10,614"
"Fort Valley,  Georgia","9,023"
"Franklin,  Georgia",980
"Franklin Springs,  Georgia","1,181"
"Funston,  Georgia",421
"Gainesville,  Georgia","47,712"
"Garden ,  Georgia","10,536"
"Garfield,  Georgia",250
"Gay,  Georgia",116
"Geneva,  Georgia",72
"George-Quitman County unified government,   Georgia","2,323"
"Gibson,  Georgia",644
"Gillsville,  Georgia",406
"Girard,  Georgia",184
"Glennville,  Georgia","5,104"
"Glenwood,  Georgia",817
"Good Hope,  Georgia",395
"Gordon,  Georgia","1,720"
"Graham,  Georgia",269
"Grantville,  Georgia","3,281"
"Gray,  Georgia","3,541"
"Grayson,  Georgia","5,252"
"Greensboro,  Georgia","3,573"
"Greenville,  Georgia",819
"Griffin,  Georgia","23,994"
"Grove,  Georgia","17,843"
"Gumbranch,  Georgia",258
"Guyton,  Georgia","3,059"
"Hagan,  Georgia",952
"Hahira,  Georgia","3,559"
"Hamilton,  Georgia","1,799"
"Hampton,  Georgia","9,201"
"Hapeville,  Georgia","6,712"
"Haralson,  Georgia",198
"Harlem,  Georgia","4,076"
"Harrison,  Georgia",324
"Hartwell,  Georgia","4,701"
"Hawkinsville,  Georgia","4,854"
"Hazlehurst,  Georgia","4,124"
"Helen,  Georgia",630
"Hephzibah,  Georgia","3,827"
"Hiawassee,  Georgia","1,046"
"Higgston,  Georgia",309
"Hiltonia,  Georgia",322
"Hinesville,  Georgia","36,583"
"Hiram,  Georgia","5,520"
"Hoboken,  Georgia",505
"Hogansville,  Georgia","3,222"
"Holly Springs,  Georgia","20,133"
"Homeland,  Georgia",907
"Homer,  Georgia","1,810"
"Homerville,  Georgia","2,357"
"Hoschton,  Georgia","6,723"
"Hull,  Georgia",241
"Ideal,  Georgia",393
"Ila,  Georgia",384
"Iron ,  Georgia",313
"Irwinton,  Georgia",538
"Ivey,  Georgia","1,009"
"Jackson,  Georgia","5,867"
"Jacksonville,  Georgia",104
"Jakin,  Georgia",132
"Jasper,  Georgia","5,289"
"Jefferson,  Georgia","16,459"
"Jeffersonville,  Georgia",926
"Jenkinsburg,  Georgia",419
"Jersey,  Georgia",154
"Jesup,  Georgia","10,235"
"Johns Creek,  Georgia","81,167"
"Jonesboro,  Georgia","6,084"
"Junction ,  Georgia",140
"Kennesaw,  Georgia","37,740"
"Keysville,  Georgia",317
"Kingsland,  Georgia","20,789"
"Kingston,  Georgia","1,100"
"Kite,  Georgia",159
"LaFayette,  Georgia","7,028"
"LaGrange,  Georgia","33,564"
"Lake ,  Georgia","2,889"
"Lakeland,  Georgia","3,032"
"Lake Park,  Georgia","1,558"
"Lavonia,  Georgia","2,165"
"Lawrenceville,  Georgia","31,877"
"Leary,  Georgia",497
"Leesburg,  Georgia","3,574"
"Lenox,  Georgia",746
"Leslie,  Georgia",337
"Lexington,  Georgia",217
"Lilburn,  Georgia","16,210"
"Lilly,  Georgia",130
"Lincolnton,  Georgia","1,431"
"Lithonia,  Georgia","2,581"
"Locust Grove,  Georgia","11,749"
"Loganville,  Georgia","16,862"
"Lone Oak,  Georgia",118
"Lookout Mountain,  Georgia","1,657"
"Louisville,  Georgia","2,223"
"Lovejoy,  Georgia","12,612"
"Ludowici,  Georgia","1,802"
"Lula,  Georgia","3,043"
"Lumber ,  Georgia",966
"Lumpkin,  Georgia",944
"Luthersville,  Georgia",838
"Lyerly,  Georgia",463
"Lyons,  Georgia","4,253"
"Mableton,  Georgia","78,314"
"McCaysville,  Georgia","1,165"
"McDonough,  Georgia","32,803"
"McIntyre,  Georgia",555
"Macon-Bibb County,   Georgia","157,056"
"McRae-Helena,  Georgia","5,186"
"Madison,  Georgia","5,131"
"Manassas,  Georgia",61
"Manchester,  Georgia","3,624"
"Mansfield,  Georgia",494
"Marietta,  Georgia","63,122"
"Marshallville,  Georgia",983
"Martin,  Georgia",348
"Maxeys,  Georgia",219
"Maysville,  Georgia","2,240"
"Meansville,  Georgia",285
"Meigs,  Georgia",944
"Menlo,  Georgia",484
"Metter,  Georgia","4,021"
"Midville,  Georgia",381
"Midway,  Georgia","2,358"
"Milan,  Georgia",608
"Milledgeville,  Georgia","16,664"
"Millen,  Georgia","2,980"
"Milner,  Georgia",807
"Milton,  Georgia","41,490"
"Mitchell,  Georgia",160
"Molena,  Georgia",421
"Monroe,  Georgia","16,270"
"Montezuma,  Georgia","2,903"
"Monticello,  Georgia","2,969"
"Montrose,  Georgia",209
"Moreland,  Georgia",389
"Morgan,  Georgia","1,826"
"Morganton,  Georgia",294
"Morrow,  Georgia","6,262"
"Morven,  Georgia",506
"Moultrie,  Georgia","14,756"
"Mountain ,  Georgia",964
"Mountain Park,  Georgia",574
"Mount Airy,  Georgia","1,493"
"Mount Vernon,  Georgia","1,838"
"Mount Zion,  Georgia","2,054"
"Nahunta,  Georgia","1,036"
"Nashville,  Georgia","4,950"
"Nelson,  Georgia","1,171"
"Newborn,  Georgia",752
"Newington,  Georgia",299
"Newnan,  Georgia","45,548"
"Newton,  Georgia",560
"Nicholls,  Georgia","2,909"
"Nicholson,  Georgia","1,918"
"Norcross,  Georgia","18,902"
"Norman Park,  Georgia","1,001"
"North High Shoals,  Georgia",561
"Norwood,  Georgia",195
"Nunez,  Georgia",134
"Oak Park,  Georgia",512
"Oakwood,  Georgia","6,759"
"Ochlocknee,  Georgia",681
"Ocilla,  Georgia","2,917"
"Oconee,  Georgia",183
"Odum,  Georgia",495
"Offerman,  Georgia",467
"Oglethorpe,  Georgia",957
"Oliver,  Georgia",223
"Omega,  Georgia","1,324"
"Orchard Hill,  Georgia",231
"Oxford,  Georgia","2,310"
"Palmetto,  Georgia","5,213"
"Parrott,  Georgia",108
"Patterson,  Georgia",777
"Pavo,  Georgia",603
"Peachtree ,  Georgia","40,758"
"Peachtree Corners,  Georgia","42,638"
"Pearson,  Georgia","1,898"
"Pelham,  Georgia","3,385"
"Pembroke,  Georgia","2,744"
"Pendergrass,  Georgia","1,856"
"Perry,  Georgia","24,792"
"Pinehurst,  Georgia",305
"Pine Lake,  Georgia",752
"Pine Mountain,  Georgia","1,288"
"Pineview,  Georgia",469
"Pitts,  Georgia",244
"Plains,  Georgia",525
"Plainville,  Georgia",357
"Pooler,  Georgia","31,171"
"Portal,  Georgia",678
"Porterdale,  Georgia","1,941"
"Port Wentworth,  Georgia","14,865"
"Poulan,  Georgia",724
"Powder Springs,  Georgia","19,632"
"Pulaski,  Georgia",209
"Quitman,  Georgia","4,061"
"Ray ,  Georgia","1,045"
"Rayle,  Georgia",157
"Rebecca,  Georgia",206
"Register,  Georgia",166
"Reidsville,  Georgia","2,555"
"Remerton,  Georgia","1,298"
"Rentz,  Georgia",316
"Resaca,  Georgia","1,137"
"Rest Haven,  Georgia",43
"Reynolds,  Georgia",895
"Rhine,  Georgia",287
"Riceboro,  Georgia",663
"Richland,  Georgia","1,449"
"Richmond Hill,  Georgia","19,839"
"Riddleville,  Georgia",79
"Rincon,  Georgia","11,701"
"Ringgold,  Georgia","3,425"
"Riverdale,  Georgia","14,586"
"Roberta,  Georgia",792
"Rochelle,  Georgia","1,155"
"Rockmart,  Georgia","5,284"
"Rocky Ford,  Georgia",168
"Rome,  Georgia","38,747"
"Roopville,  Georgia",244
"Rossville,  Georgia","3,942"
"Roswell,  Georgia","92,227"
"Royston,  Georgia","2,665"
"Rutledge,  Georgia",929
"St. Marys,  Georgia","20,119"
"Sale ,  Georgia",351
"Sandersville,  Georgia","5,500"
"Sandy Springs,  Georgia","105,505"
"Santa Claus,  Georgia",206
"Sardis,  Georgia","1,007"
"Sasser,  Georgia",270
"Savannah,  Georgia","148,808"
"Scotland,  Georgia",174
"Screven,  Georgia",821
"Senoia,  Georgia","6,101"
"Shady Dale,  Georgia",296
"Sharon,  Georgia",108
"Sharpsburg,  Georgia",326
"Shellman,  Georgia",822
"Shiloh,  Georgia",429
"Siloam,  Georgia",190
"Sky Valley,  Georgia",491
"Smithville,  Georgia",621
"Smyrna,  Georgia","57,177"
"Snellville,  Georgia","22,336"
"Social Circle,  Georgia","5,415"
"Soperton,  Georgia","2,933"
"South Fulton,  Georgia","112,003"
"Sparks,  Georgia","2,068"
"Sparta,  Georgia","1,316"
"Springfield,  Georgia","3,223"
"Stapleton,  Georgia",397
"Statesboro,  Georgia","35,226"
"Statham,  Georgia","3,247"
"Stillmore,  Georgia",447
"Stockbridge,  Georgia","35,893"
"Stonecrest,  Georgia","61,015"
"Stone Mountain,  Georgia","6,552"
"Sugar Hill,  Georgia","28,598"
"Summer,  Georgia",119
"Summerville,  Georgia","4,421"
"Sumner,  Georgia",433
"Surrency,  Georgia",198
"Suwanee,  Georgia","23,062"
"Swainsboro,  Georgia","7,556"
"Sycamore,  Georgia",743
"Sylvania,  Georgia","2,655"
"Sylvester,  Georgia","5,413"
"Talbotton,  Georgia",738
"Talking Rock,  Georgia",111
"Tallapoosa,  Georgia","3,164"
"Tallulah Falls,  Georgia",210
"Talmo,  Georgia",290
"Tarry,  Georgia",63
"Taylorsville,  Georgia",265
"Temple,  Georgia","6,406"
"Tennille,  Georgia","1,846"
"Thomaston,  Georgia","9,850"
"Thomasville,  Georgia","18,604"
"Thomson,  Georgia","6,792"
"Thunderbolt,  Georgia","2,536"
"Tifton,  Georgia","17,385"
"Tiger,  Georgia",430
"Tignall,  Georgia",498
"Toccoa,  Georgia","9,389"
"Toomsboro,  Georgia",376
"Trenton,  Georgia","2,205"
"Trion,  Georgia","1,972"
"Tucker,  Georgia","37,224"
"Tunnel Hill,  Georgia",986
"Turin,  Georgia",590
"Twin ,  Georgia","1,767"
"Tybee Island,  Georgia","3,139"
"Tyrone,  Georgia","8,038"
"Ty Ty,  Georgia",644
"Unadilla,  Georgia","3,200"
"Union ,  Georgia","28,195"
"Union Point,  Georgia","1,830"
"Uvalda,  Georgia",433
"Valdosta,  Georgia","55,667"
"Varnell,  Georgia","2,289"
"Vernonburg,  Georgia",140
"Vidalia,  Georgia","10,853"
"Vidette,  Georgia",103
"Vienna,  Georgia","2,914"
"Villa Rica,  Georgia","20,095"
"Waco,  Georgia",592
"Wadley,  Georgia","1,576"
"Waleska,  Georgia",978
"Walnut Grove,  Georgia","1,649"
"Walthourville,  Georgia","3,945"
"Warm Springs,  Georgia",445
"Warner Robins,  Georgia","86,199"
"Warrenton,  Georgia","1,887"
"Warwick,  Georgia",491
"Washington,  Georgia","3,623"
"Watkinsville,  Georgia","3,897"
